"id","date","accent_description","rating","style","created_at","updated_at","published_at","created_by_id","updated_by_id","project"
3,2021-10-16,Po neúspěšném tahání v lomu Borek (vyhodili nás) jsme vzali zavděk lomu Trhová Kamenice.,2,,2022-10-22 16:57:15.131,2022-10-22 16:57:25.602,2022-10-22 16:57:25.596,1,1,true
6,2021-11-16,"Tahali jsme Ořešník na Hanzově oslavě života. OS oba směry. Tým Já, Káťa, Katka, Lenka a Halfi.",4,OS (on sight),2022-10-22 17:03:46.668,2022-10-22 17:04:01.811,2022-10-22 17:04:01.804,1,1,false
7,2021-12-05,"Tahali jsme Mnamku. Dal jsem to asi se 4 pádama. Tým Já, Dějv, Káťa, Katka a Adam.",3,AF (after fall),2022-10-22 17:06:25.011,2022-10-22 17:06:32.098,2022-10-22 17:06:32.094,1,1,true
10,2022-07-02,Projet 100m ve Vinařicích s Péťou a Káťou. Několikrát jsem to přešel s jedním pádem.,3,AF (after fall),2022-10-22 17:19:42.379,2022-10-22 17:20:13.417,2022-10-22 17:20:13.412,1,1,true
8,2021-12-12,S Kačkou Němečkovou jsme šli napnout 75 do Hlubočepského jezírka. Bylo to těžký takže to mám s pádama.,3,AF (after fall),2022-10-22 17:10:35.194,2022-10-22 17:20:19.139,2022-10-22 17:20:19.136,1,1,true
9,2022-02-26,S Jeanem a Lenkou jsme šli tahat 130m lajnu do lomu malá Amerika. Mám to AF.,3,AF (after fall),2022-10-22 17:15:08.876,2022-10-22 17:20:23.621,2022-10-22 17:20:23.615,1,1,true
4,2021-10-23,Klasický tréning.,2,,2022-10-22 16:58:49.087,2022-10-22 17:20:39.109,2022-10-22 16:58:56.466,1,1,false
11,2022-07-06,S Honzíkem Šafránkem jsme napli Hippie punk. Přešel jsem si na OS.,3,OS (on sight),2022-10-22 17:21:58.819,2022-10-22 17:27:28.172,2022-10-22 17:27:28.169,1,1,false
12,2022-07-24,Přšel jsem si lajnu mazi Pannou a Babou na troskách :),5,OW (one way),2022-10-22 17:27:17.256,2022-10-22 17:27:37.375,2022-10-22 17:27:37.373,1,1,false
13,2022-07-31,Se Silvou jsme natahli Two is more than One. Hned vedle Anička s Martinem tahali 50m lajnu,2,AF (after fall),2022-10-22 17:30:29.006,2022-10-22 17:32:39.536,2022-10-22 17:32:39.532,1,1,false
5,2021-10-30,"Tahali jsme 135m lajnu na vyhlídce Máj. Supr lajna, jen na přechod budu muset ještě počkat. Tým Dejv, Silva, Vojta, Shaun a Já.",4,,2022-10-22 17:01:37.029,2022-10-27 22:37:56.720,2022-10-22 17:04:08.713,1,1,true
